文件,模块组,变更,审查深度,职责/结论,基线行数,当前行数,审查报告
src/infrastructure/database/openAlembicDatabase.ts,foundation,retained,manual-full,连接和迁移组合入口；迁移失败关闭native句柄，返回明确migrated与close。,56,55,foundation-review.json; foundation-root-round2-review.json
src/infrastructure/event/EventBus.ts,foundation,modified,manual-full,Exports: EventBus,72,73,foundation-review.json
src/infrastructure/event/index.ts,foundation,retained,manual-full,逐项核对公共barrel/兼容facade及真实拥有层；保持入口、命名和业务能力，不扩大根导出。,2,1,foundation-review.json; foundation-root-final-sources-review.json
src/infrastructure/index.ts,foundation,retained,manual-full,逐项核对公共barrel/兼容facade及真实拥有层；保持入口、命名和业务能力，不扩大根导出。,9,8,foundation-review.json; foundation-root-final-sources-review.json
src/infrastructure/io/WriteZone.ts,foundation,retained,manual-full,project/data/global路径品牌与写入guard，同步异步写入和EXDEV补偿；属于现役跨宿主IO能力，保留。,252,251,foundation-review.json; foundation-root-round2-review.json
src/infrastructure/io/index.ts,foundation,retained,manual-full,逐项核对公共barrel/兼容facade及真实拥有层；保持入口、命名和业务能力，不扩大根导出。,2,1,foundation-review.json; foundation-root-final-sources-review.json
src/infrastructure/logging/Logger.ts,foundation,retained,manual-full,共享logger、就地transport重配、quiet/MCP console边界、文件和audit路由；静态入口是兼容API，不裁掉。,249,248,foundation-review.json; foundation-root-round2-review.json
src/infrastructure/logging/index.ts,foundation,retained,manual-full,逐项核对公共barrel/兼容facade及真实拥有层；保持入口、命名和业务能力，不扩大根导出。,2,1,foundation-review.json; foundation-root-final-sources-review.json
src/infrastructure/report/ReportStore.ts,foundation,modified,manual-full,"Exports: ReportCategory, ReportEntry, ReportQueryOptions, ReportStore",200,199,foundation-review.json
src/infrastructure/report/index.ts,foundation,retained,manual-full,逐项核对公共barrel/兼容facade及真实拥有层；保持入口、命名和业务能力，不扩大根导出。,2,1,foundation-review.json; foundation-root-final-sources-review.json
src/infrastructure/signal/SignalAggregator.ts,foundation,modified,manual-full,Exports: SignalAggregator,158,164,foundation-review.json
src/infrastructure/signal/SignalBridge.ts,foundation,retained,manual-full,Exports: SignalBridge,25,24,foundation-review.json
src/infrastructure/signal/SignalBus.ts,foundation,retained,manual-full,"Exports: SignalType, Signal, SignalHandler, SignalBus",159,158,foundation-review.json
src/infrastructure/signal/SignalTraceWriter.ts,foundation,modified,manual-full,"Exports: SignalTraceQueryOptions, SignalTraceWriter",184,189,foundation-review.json
src/infrastructure/signal/index.ts,foundation,retained,manual-full,逐项核对公共barrel/兼容facade及真实拥有层；保持入口、命名和业务能力，不扩大根导出。,5,4,foundation-review.json; foundation-root-final-sources-review.json
src/infrastructure/vector/ASTChunker.ts,intelligence,modified,manual-full,Tree-sitter声明节点语义分块与大节点/行回退，显式Tree释放。,460,461,intelligence-review.json
src/infrastructure/vector/AsyncPersistence.ts,intelligence,modified,manual-full,NDJSON+CRC32 WAL追加、恢复与异步完整快照批次确认。,328,403,intelligence-review.json
src/infrastructure/vector/BatchEmbedder.ts,intelligence,retained,manual-full,将EmbeddingPort或legacy embed端口分批并发调用并返回ID→向量。,214,213,intelligence-review.json
src/infrastructure/vector/BinaryPersistence.ts,intelligence,modified,manual-full,ASVEC v1头、图、向量、量化范围和metadata/content的二进制编解码及文件IO。,470,461,intelligence-review.json
src/infrastructure/vector/Chunker.ts,intelligence,retained,manual-full,同步whole/section/fixed/ast/auto分块门面。,236,235,intelligence-review.json
src/infrastructure/vector/HnswIndex.ts,intelligence,retained,manual-full,纯JS分层近邻图、双堆搜索、软删除、SQ8粗排与精排。,750,749,intelligence-review.json
src/infrastructure/vector/HnswVectorAdapter.ts,intelligence,modified,manual-full,VectorStore具体实现：HNSW、metadata/content、量化、JSON迁移与WAL恢复。,936,1001,intelligence-review.json
src/infrastructure/vector/IndexingPipeline.ts,intelligence,modified,manual-full,项目文档扫描→sourceHash增量→chunk→可选enrich/embed→VectorStore批写与过期块清理。,379,605,intelligence-review.json
src/infrastructure/vector/JsonVectorAdapter.ts,intelligence,retained,manual-full,Map保存内容/metadata/vector并持久JSON；暴力余弦及权重混合检索。,287,286,intelligence-review.json
src/infrastructure/vector/OllamaEmbedProvider.ts,intelligence,retained,manual-full,既有可注入fetch的Ollama HTTP embedding兼容adapter与本地model探测。,290,289,intelligence-review.json
src/infrastructure/vector/ScalarQuantizer.ts,intelligence,retained,manual-full,按维度min/max训练Uint8量化器、编码解码与量化空间距离。,206,205,intelligence-review.json
src/infrastructure/vector/VectorMetadataFilter.ts,intelligence,retained,manual-full,向量分块、嵌入、HNSW/JSON索引和持久化；导出 matchesVectorMetadataFilter,71,70,intelligence-review.json
src/infrastructure/vector/VectorMigration.ts,intelligence,retained,manual-full,向量分块、嵌入、HNSW/JSON索引和持久化；导出 VectorMigration,103,102,intelligence-review.json
src/infrastructure/vector/VectorStore.ts,intelligence,retained,manual-full,可被具体adapter覆写的向量存储基类与批量默认行为。,96,95,intelligence-review.json
src/infrastructure/vector/index.ts,intelligence,retained,manual-full,向量基础设施既有子模块barrel。,14,13,intelligence-review.json
src/io.ts,foundation,retained,manual-full,逐项核对公共barrel/兼容facade及真实拥有层；保持入口、命名和业务能力，不扩大根导出。,26,25,foundation-review.json; foundation-root-final-sources-review.json
src/knowledge.ts,foundation,retained,manual-full,稳定knowledge聚合出口；精确选择符号避免将全部repository或strict协议泄露到根面，现役导出保持。,298,297,foundation-review.json; foundation-root-final-sources-review.json
src/logging.ts,foundation,retained,manual-full,逐项核对公共barrel/兼容facade及真实拥有层；保持入口、命名和业务能力，不扩大根导出。,2,1,foundation-review.json; foundation-root-final-sources-review.json
src/memory.ts,foundation,retained,manual-full,"Exports: SemanticMemoryRepository, SemanticMemorySqliteDatabase, SemanticMemoryDatabaseHandle, CreateSemanticMemoryRepositoryOptions, SemanticMemoryRepositorySource, createSemanticMemoryRepository, ensureSemanticMemorySchema",141,140,foundation-review.json
src/plans.ts,foundation,modified,manual-full,Module/configuration/documentation; dependency and structure inventory recorded,73,63,foundation-review.json
src/production.ts,foundation,retained,manual-full,Module/configuration/documentation; dependency and structure inventory recorded,80,79,foundation-review.json
src/project-context-capabilities.ts,foundation,retained,manual-full,逐项核对公共barrel/兼容facade及真实拥有层；保持入口、命名和业务能力，不扩大根导出。,24,23,foundation-review.json; foundation-root-final-sources-review.json
src/project-context.ts,foundation,retained,manual-full,Module/configuration/documentation; dependency and structure inventory recorded,69,68,foundation-review.json
src/projectContextFoundation.ts,foundation,modified,manual-full,durable事实独立facade；删去重复类型声明，136符号与来源完全不变。,16,8,foundation-review.json; foundation-root-final-sources-review.json
src/recipe-context-capabilities.ts,foundation,retained,manual-full,RecipeContext端口DTO和冻结capabilities adapter，六种查询委托同一execute；真实service装配保留。,177,176,foundation-review.json; foundation-root-final-sources-review.json
src/report.ts,foundation,retained,manual-full,Exports: ReportReader,23,22,foundation-review.json
src/repositories.ts,foundation,retained,manual-full,"Exports: KnowledgeRepository, KnowledgeEdgeRepository, CodeEntityRepository, GenerateRepository, GuardViolationRepository, MemoryRepository, SessionRepository, SourceGraphRepository, SourceRefRepository, AlembicRepositoryDatabase, AlembicRepositoryBundle, FirstStatement",288,287,foundation-review.json
src/repository/base/RepositoryBase.ts,foundation,modified,manual-full,带logger和Drizzle事务的仓储基类；删除不存在rawQuery的旧注释，抽象CRUD签名保留。,62,61,foundation-review.json; foundation-root-round2-review.json
src/repository/base/index.ts,foundation,retained,manual-full,逐项核对公共barrel/兼容facade及真实拥有层；保持入口、命名和业务能力，不扩大根导出。,2,1,foundation-review.json; foundation-root-final-sources-review.json
src/repository/bootstrap/BootstrapRepository.ts,foundation,retained,manual-full,逐项核对公共barrel/兼容facade及真实拥有层；保持入口、命名和业务能力，不扩大根导出。,4,3,foundation-review.json; foundation-root-final-sources-review.json
src/repository/bootstrap/GenerateRepository.ts,foundation,modified,manual-full,快照与维度文件持久化、完整项目清理、统一row映射；补齐合法opaque维度键，保留processed count。,372,351,foundation-review.json; foundation-root-final-sources-review.json
src/repository/bootstrap/index.ts,foundation,retained,manual-full,逐项核对公共barrel/兼容facade及真实拥有层；保持入口、命名和业务能力，不扩大根导出。,2,1,foundation-review.json; foundation-root-final-sources-review.json
src/repository/code/CodeEntityRepository.ts,foundation,retained,manual-full,项目/类型复合身份CRUD、文件增量删除、模块JSON查询与批次事务；processed-count历史返回语义保留。,491,490,foundation-review.json; foundation-root-round2-review.json
src/repository/code/index.ts,foundation,retained,manual-full,逐项核对公共barrel/兼容facade及真实拥有层；保持入口、命名和业务能力，不扩大根导出。,2,1,foundation-review.json; foundation-root-final-sources-review.json
src/repository/coverage/CoverageLedgerRepository.ts,foundation,retained,manual-full,module×dimension覆盖账本与rescan轮次幂等键；cell为替换语义、round为合并语义，两种upsert不可盲目合并。,305,304,foundation-review.json; foundation-root-round2-review.json
src/repository/evolution/GitDiffCheckpointRepository.ts,knowledge,retained,manual-full,project/scope/folder 复合键 checkpoint 持久化。,178,177,knowledge-review.json
src/repository/evolution/LifecycleEventRepository.ts,knowledge,modified,manual-full,生命周期不可变事件写入、历史、统计；毫秒时间。,196,185,knowledge-review.json
src/repository/evolution/ProposalRepository.ts,knowledge,retained,manual-full,进化提案两类状态机持久化、活跃去重、排序、观察期、证据更新。,468,467,knowledge-review.json
src/repository/evolution/WarningRepository.ts,knowledge,retained,manual-full,contradiction/redundancy warning 去重 upsert、解决/忽略和查询。,293,292,knowledge-review.json
src/repository/evolution/index.ts,knowledge,retained,manual-full,模块出口聚合；内部依赖与 package public facade 仍引用，不能仅因无逻辑删除。,5,4,knowledge-review.json
src/repository/guard/GuardViolationRepository.ts,foundation,retained,manual-full,Guard运行存取、时间排序、分页、JSON规则统计与容量控制；保留返回DTO和legacy格式。,323,322,foundation-review.json; foundation-root-round2-review.json
src/repository/guard/index.ts,foundation,retained,manual-full,逐项核对公共barrel/兼容facade及真实拥有层；保持入口、命名和业务能力，不扩大根导出。,2,1,foundation-review.json; foundation-root-final-sources-review.json
src/repository/index.ts,foundation,retained,manual-full,逐项核对公共barrel/兼容facade及真实拥有层；保持入口、命名和业务能力，不扩大根导出。,13,12,foundation-review.json; foundation-root-final-sources-review.json
src/repository/knowledge/KnowledgeEdgeRepository.ts,knowledge,modified,manual-full,知识/代码实体关系边的Drizzle upsert/查询/删除、拓扑聚合与批写；公开repository方法保留，不因内部消费者稀少删除。,694,693,knowledge-review.json
src/repository/knowledge/KnowledgeFileStore.ts,knowledge,retained,manual-full,文件优先写/扫描 port；返回 null/false 是契约失败信号。,56,55,knowledge-review.json
src/repository/knowledge/KnowledgeRepositoryImpl.ts,knowledge,modified,manual-full,知识SQLite CRUD/值对象hydration、分页安全列检查、六态查询、同步Guard/search投影与计数；已读所有方法。,1317,1330,knowledge-review.json
src/repository/knowledge/KnowledgeUnitOfWork.ts,knowledge,modified,manual-full,收集文件变更与 DB 事务，文件先写，DB 失败保留真相并抛 DivergenceError。,211,240,knowledge-review.json
src/repository/knowledge/index.ts,knowledge,retained,manual-full,模块出口聚合；内部依赖与 package public facade 仍引用，不能仅因无逻辑删除。,5,4,knowledge-review.json
src/repository/memory/MemoryRepository.ts,foundation,retained,manual-full,semantic_memories完整CRUD、访问计数、过期过滤/词法相似度、遗忘衰减、容量淘汰与统计；embedding独立sidecar。,442,441,foundation-review.json; foundation-supplement-review.json
src/repository/memory/index.ts,foundation,retained,manual-full,逐项核对公共barrel/兼容facade及真实拥有层；保持入口、命名和业务能力，不扩大根导出。,2,1,foundation-review.json; foundation-root-final-sources-review.json
src/repository/search/SearchRepoAdapter.ts,foundation,modified,manual-full,raw SQL检索/Guard/source-ref适配；修复ISO与Unix秒比较、包含同秒更新；snake/camel兼容在SearchEngine明确保留。,236,238,foundation-review.json; foundation-root-final-sources-review.json
src/repository/search/index.ts,foundation,retained,manual-full,逐项核对公共barrel/兼容facade及真实拥有层；保持入口、命名和业务能力，不扩大根导出。,2,1,foundation-review.json; foundation-root-final-sources-review.json
src/repository/session/SessionRepository.ts,foundation,retained,manual-full,会话JSON存取、scope/actor查询、Unix秒活跃时间与过期删除；保留nullable持久化字段。,155,154,foundation-review.json; foundation-root-round2-review.json
src/repository/session/index.ts,foundation,retained,manual-full,逐项核对公共barrel/兼容facade及真实拥有层；保持入口、命名和业务能力，不扩大根导出。,2,1,foundation-review.json; foundation-root-final-sources-review.json
src/repository/source-graph/SourceGraphRepository.ts,foundation,modified,manual-full,独立source graph generation/files/symbols/edges SQLite持久化、重建/清理、边方向/文件查询、完整性/统计freshness投影。,939,962,foundation-review.json; foundation-supplement-review.json
src/repository/source-graph/index.ts,foundation,retained,manual-full,逐项核对公共barrel/兼容facade及真实拥有层；保持入口、命名和业务能力，不扩大根导出。,2,1,foundation-review.json; foundation-root-final-sources-review.json
src/repository/sourceref/RecipeSourceRefRepository.ts,knowledge,modified,manual-full,Recipe 源码引用和 region 指纹/漂移状态持久化。,273,291,knowledge-review.json
src/repository/sourceref/index.ts,knowledge,retained,manual-full,模块出口聚合；内部依赖与 package public facade 仍引用，不能仅因无逻辑删除。,2,1,knowledge-review.json
src/repository/sync/SyncRepoAdapter.ts,foundation,retained,manual-full,同步UPSERT、写严格审计插入、失效标记adapter；保留调用方传入的schema列，不改wire列名。,114,113,foundation-review.json; foundation-root-round2-review.json
src/repository/sync/index.ts,foundation,retained,manual-full,逐项核对公共barrel/兼容facade及真实拥有层；保持入口、命名和业务能力，不扩大根导出。,2,1,foundation-review.json; foundation-root-final-sources-review.json
src/repository/token/TokenUsageStore.ts,foundation,retained,manual-full,token用量写入、每100次成功写入清理、7日分组与10秒报告缓存；既有可观察best-effort记账语义保留。,235,234,foundation-review.json; foundation-root-round2-review.json
src/repository/token/index.ts,foundation,retained,manual-full,逐项核对公共barrel/兼容facade及真实拥有层；保持入口、命名和业务能力，不扩大根导出。,2,1,foundation-review.json; foundation-root-final-sources-review.json
src/search.ts,foundation,retained,manual-full,逐项核对公共barrel/兼容facade及真实拥有层；保持入口、命名和业务能力，不扩大根导出。,116,115,foundation-review.json; foundation-root-final-sources-review.json
src/service/bootstrap/GenerateDedup.ts,production,modified,manual-full,会话内候选注册与四维相似度去重，保存前用于避开并行/跨维候选重复。,193,173,production-review.json
src/service/bootstrap/index.ts,production,retained,manual-full,显式包/模块聚合入口，保持现有 symbols 与 ESM .js 导入兼容；不是可按无函数删除的死文件。,6,5,production-review.json
src/service/guard/EnhancementGuardRules.ts,intelligence,retained,manual-full,同步 registry 规则适配与异步 manifest→language/framework→pack 规则选择；frameworkAgnostic 优先级及未初始化空集兼容必须保留。,115,114,intelligence-review.json; guard-review.json
src/service/guard/ExclusionManager.ts,intelligence,retained,manual-full,path/per-file rule/global rule三级排除、glob、导入导出、JSON持久化和旧.asd迁移；WriteZone可选，不能删除旧构造或排除导入面。,312,311,intelligence-review.json; guard-review.json
src/service/guard/GuardCheckEngine.ts,intelligence,modified,manual-full,数据库regex/AST、builtins、EP规则合并与缓存；路径/测试/scope排除；regex/code/AST Layer2执行、uncertainty、reasoning、hits与SignalBus汇总。完整读取1–1810范围（基线1796行），保留B的AST过滤、dialect与callee修复。,1784,1796,intelligence-review.json; guard-review.json
src/service/guard/GuardCodeChecks.ts,intelligence,retained,manual-full,ObjC KVO/category、JS promise、Go defer循环、Python缩进、Swift unwrap、Java资源/synchronized、Kotlin协程、Rust unwrap/unsafe、Dart mounted/late等确定性启发式检查。,429,428,intelligence-review.json; guard-review.json
src/service/guard/GuardCrossFileChecks.ts,intelligence,retained,manual-full,跨文件相对import、JS双向循环、ObjC重复category、JVM同名类、Go init数量、Swift extension冲突等检查；保留返回ruleId/文件组合/严重度。,334,333,intelligence-review.json; guard-review.json
src/service/guard/GuardFeedbackLoop.ts,intelligence,retained,manual-full,按当前与历史ruleId差集识别已修复项，经rule/fixSuggestion关联知识，记录反馈并发signal；历史更新顺序属于宿主消费契约。,191,190,intelligence-review.json; guard-review.json
src/service/guard/GuardPatternUtils.ts,intelligence,retained,manual-full,RegExp透传/string缓存编译、注释/test行mask、Rust test块追踪和语言识别adapter。,176,175,intelligence-review.json; guard-review.json
src/service/guard/GuardService.ts,intelligence,modified,manual-full,公开规则创建/启用/禁用、审计、引擎优先与DB-only降级、列表/搜索/统计；本次接入可选fileStore，共用persistKnowledgeUpdate并刷新cache，AST正文保存真实query。旧repo/constructor兼容。,394,509,intelligence-review.json; guard-review.json
src/service/guard/RuleLearner.ts,intelligence,retained,manual-full,可持久化触发/反馈统计、precision/recall/F1/FP率、问题阈值、14天有效性、质量signal与规则优化建议；不包含AI运行时。旧.asd迁移和JSON兼容保留。,406,405,intelligence-review.json; guard-review.json
src/service/guard/UncertaintyCollector.ts,intelligence,retained,manual-full,逐层执行/跳过计数、uncertain结果、skipReason边界和覆盖报告；reset/get/buildReport对外输出需要保留。,233,232,intelligence-review.json; guard-review.json
src/service/guard/ViolationsStore.ts,intelligence,modified,manual-full,SQLite审计run写入、指纹去重、200条上限、历史/趋势/统计/分页/归属；本次精确rule清理保留mixed run其他规则，同秒顺序用rowid稳定。,328,365,intelligence-review.json; guard-review.json
src/service/guard/index.ts,intelligence,retained,manual-full,11个Guard子模块公共barrel，真实facade与两宿主消费；不扩大exports，不删除兼容入口。,12,11,intelligence-review.json; guard-review.json
src/service/index.ts,foundation,retained,manual-full,逐项核对公共barrel/兼容facade及真实拥有层；保持入口、命名和业务能力，不扩大根导出。,11,10,foundation-review.json; foundation-root-final-sources-review.json
src/service/knowledge/CodeEntityGraph.ts,knowledge,modified,manual-full,从AST/SPM/候选关系/调用图建立实体和边，提供继承、BFS、影响范围、宿主上下文及增量清理；与现代source-graph不同，仍有真实兼容消费者。,1233,1234,knowledge-review.json
src/service/knowledge/ConfidenceRouter.ts,knowledge,retained,manual-full,按内容、reasoning、质量和来源置信度决定 pending/staging/deprecated。,219,218,knowledge-review.json
src/service/knowledge/FsSourceRefResolver.ts,knowledge,retained,manual-full,真实文件存在和行范围接地校验 port，返回范围文本或结构化 violation。,103,102,knowledge-review.json
src/service/knowledge/KnowledgeFileWriter.ts,knowledge,modified,manual-full,知识文件 scalar/JSON frontmatter 序列化、atomic durable persist、迁移/删除/解析/hash。,774,831,knowledge-review.json
src/service/knowledge/KnowledgeGraphService.ts,knowledge,retained,manual-full,知识边增删、BFS 路径、反向影响分析及兼容 singleton facade。,231,230,knowledge-review.json
src/service/knowledge/KnowledgeService.ts,knowledge,modified,manual-full,统一CRUD、实体生命周期和发布就绪门禁、质量/使用计数、关系图同步、审计/事件及file-first写入。已逐方法核读，并用真实公开入口复现三个手动编辑/计数缺陷。,1468,1501,knowledge-review.json
src/service/knowledge/KnowledgeSyncService.ts,knowledge,retained,manual-full,递归扫描知识文件、文件→DB upsert、手改审计、孤儿弃用及向量刷新边界。,480,479,knowledge-review.json
src/service/knowledge/RecipeExtractor.ts,knowledge,retained,manual-full,历史Markdown元数据/代码块/语言/标签/质量摘要提取，与持久化完整KnowledgeFileWriter解析有不同输出语义。,349,348,knowledge-review.json
src/service/knowledge/RecipeFreshnessService.ts,knowledge,retained,manual-full,有界单条/多条sourceRef→向量新鲜度刷新，返回明确failed/degraded与桥接可用性；可选向量配置保持兼容。,317,316,knowledge-review.json
src/service/knowledge/RecipePathRewriter.ts,knowledge,retained,manual-full,rename 后重写 reasoning.sources、markdown、coreCode 及源知识文件。,150,149,knowledge-review.json
src/service/knowledge/RecipeProductionGateway.ts,knowledge,retained,manual-full,普通批量准入/去重/融合/生产/关系回填及strict G1-admission-G2冻结投影授权与prepared ID恢复；已读全链，不删legacy入口或strict独立语义。,2023,2022,knowledge-review.json
src/service/knowledge/RecipeRetrieval.ts,knowledge,retained,manual-full,规范化 compatibility/native retrieval profile，计算 canonical source hash，投影四类检索文档和稀疏字段，并按 profile/hash/文档完备性决定 retrieval readiness。,941,940,knowledge-review.json
src/service/knowledge/SourceRefReconciler.ts,knowledge,modified,manual-full,reasoning.sources 到引用表的权威同步、region 指纹漂移、Git rename 修复和质量信号。,887,984,knowledge-review.json
src/service/knowledge/driftClassifier.ts,knowledge,retained,manual-full,确定性比较引用文本块，区分行位移、内容变化、不可解析。,88,87,knowledge-review.json
src/service/knowledge/index.ts,knowledge,retained,manual-full,模块出口聚合；内部依赖与 package public facade 仍引用，不能仅因无逻辑删除。,15,14,knowledge-review.json
src/service/knowledge/persistKnowledgeUpdate.ts,new-reviewed,added,manual-full,内部完整实体file-first更新；真实fileStore→DB同id读回，失败区分FileWriteError/DivergenceError，旧无writer调用保持兼容诊断。,0,88,root-final-new-file-review
src/service/knowledge/validation/candidate/CandidateAggregator.ts,knowledge,modified,manual-full,批内标题 Jaccard 去重，稳定保留最先条目。,60,62,knowledge-review.json
src/service/knowledge/validation/candidate/CandidateValidationFacade.ts,knowledge,retained,manual-full,批内去重、V3 校验和 UnifiedValidator 组合入口。,78,77,knowledge-review.json
src/service/knowledge/validation/candidate/SimilarityService.ts,knowledge,modified,manual-full,限定目录深度的 Markdown 语料磁盘相似度检索。,158,156,knowledge-review.json
src/service/knowledge/validation/candidate/index.ts,knowledge,retained,manual-full,模块出口聚合；内部依赖与 package public facade 仍引用，不能仅因无逻辑删除。,3,2,knowledge-review.json
src/service/knowledge/validation/quality/FeedbackCollector.ts,knowledge,retained,manual-full,反馈 JSON 读写/迁移、计数统计和可感知持久化失败。,219,218,knowledge-review.json
src/service/knowledge/validation/quality/QualityScorer.ts,knowledge,retained,manual-full,五维渐进评分，接地模式与legacy评分兼容分支；质量分供排序和路由，不等于内容验证器。,407,406,knowledge-review.json
src/service/knowledge/validation/quality/index.ts,knowledge,retained,manual-full,模块出口聚合；内部依赖与 package public facade 仍引用，不能仅因无逻辑删除。,3,2,knowledge-review.json
src/service/knowledge/validation/recipe/RecipeCandidateValidator.ts,knowledge,modified,manual-full,V3 候选结构/类别/语言/来源验证与批次汇总。,241,272,knowledge-review.json
src/service/knowledge/validation/recipe/RecipeParser.ts,knowledge,modified,manual-full,Recipe Markdown和原始源码提取：完整frontmatter、文档分段、fenced snippet与source fallback。,311,383,knowledge-review.json; production-review.json
src/service/knowledge/validation/recipe/index.ts,knowledge,retained,manual-full,模块出口聚合；内部依赖与 package public facade 仍引用，不能仅因无逻辑删除。,3,2,knowledge-review.json
src/service/plan/facts/collectProjectContext.ts,production,retained,manual-full,以有限 ProjectContext request kinds 收集 plan 事实，解析 ProjectScope 并保留理解缺口。,568,567,production-review.json
src/service/plan/facts/index.ts,production,retained,manual-full,显式包/模块聚合入口，保持现有 symbols 与 ESM .js 导入兼容；不是可按无函数删除的死文件。,14,13,production-review.json
src/service/plan/facts/projectInfoTree.ts,production,modified,manual-full,把模块/文件/符号事实投影为带省略计数和外置引用的计划树与维度密度。,1150,1150,production-review.json
src/service/plan/facts/projectSourceFacts.ts,production,retained,manual-full,读取工程源文件事实并将文件归属附加到 canonical module seeds。,276,275,production-review.json
src/service/plan/facts/transientTransport.ts,production,retained,manual-full,为双宿主计划/briefing 的大 JSON 输出创建稳定临时传输文件路径。,69,68,production-review.json
src/service/plan/intent/coldStartProductionPlan.ts,production,retained,manual-full,编译严格冷启动计划：冻结维度/解剖目录、完整适用分母、问题 DAG、预算与事实调度。,1889,1888,production-review.json
src/service/plan/intent/contracts.ts,production,retained,manual-full,跨层结构契约/序列化 DTO：contracts；接口本身无执行副作用，删除须校验真实导入和公共 exports。,112,111,production-review.json
src/service/plan/intent/index.ts,production,retained,manual-full,显式包/模块聚合入口，保持现有 symbols 与 ESM .js 导入兼容；不是可按无函数删除的死文件。,5,4,production-review.json
src/service/plan/intent/planAuthoringSpec.ts,production,retained,manual-full,计划规模规则的双宿主提示文案单源；固定规则值是产品契约。,95,94,production-review.json
src/service/plan/intent/planIntent.ts,production,retained,manual-full,验证/归一化宿主确认计划并投影维度、扫描预算与模块范围。,387,386,production-review.json
src/service/plan/status/contracts.ts,production,retained,manual-full,跨层结构契约/序列化 DTO：contracts；接口本身无执行副作用，删除须校验真实导入和公共 exports。,136,135,production-review.json
src/service/plan/status/index.ts,production,retained,manual-full,显式包/模块聚合入口，保持现有 symbols 与 ESM .js 导入兼容；不是可按无函数删除的死文件。,3,2,production-review.json
src/service/plan/status/recipeStatus.ts,production,modified,manual-full,从生命周期/源码引用/计划目标导出代码区域映射、覆盖缺口和计划状态。,437,447,production-review.json
src/service/production/DurableSemanticDispositionReviewAuthority.ts,production,retained,manual-full,V3/V4/V5 跨进程 Ed25519 语义评审 attestation、预批准 trust policy 与 evidence-store 绑定。,1345,1344,production-review.json
src/service/production/PrivateCorpusRevisionResolver.ts,production,retained,manual-full,内部私有 corpus revision 路径解析；坐标严格单段化，创建/恢复职责分离。,77,76,production-review.json
src/service/production/ProductionActorIdentity.ts,production,retained,manual-full,把模型加载、调用、输入输出 hash 组成规范身份，供 Actor 跨边界对账。,91,90,production-review.json
src/service/production/ProductionPersistenceContracts.ts,production,modified,manual-full,私有 revision 原生句柄、隔离初始化/恢复、G1→Admission→G2→持久化→发布/路由对账契约。,2928,2949,production-review.json
src/service/production/SemanticDispositionReviewExecution.ts,production,modified,manual-full,把语义请求、冻结证据、reviewer load 与真实宿主调用绑定为不可移植的同进程执行 authority。,3590,3592,production-review.json
src/service/production/StrictAnalysisContracts.ts,production,retained,manual-full,Fact→population→cluster→induction→falsification→expression→fixpoint 的规范化、守恒与谱系验证。,3096,3095,production-review.json
src/service/production/StrictFactExecution.ts,production,modified,manual-full,对冻结源码完整分母执行真实 AST/ProjectContext/config backend，生成带 witness 的事实与失败回执。,2465,2489,production-review.json
src/service/production/StrictFactExecutionReceipt.ts,production,retained,manual-full,区分格式完整的失败回执与可授权 pass 的完整成功执行，校验分母/产物守恒。,170,169,production-review.json
src/service/production/StrictProductionAuthority.ts,production,retained,manual-full,模块 StrictProductionAuthority；通过下列导出和静态真实 importer 连接到生产链，人工语义审查范围见 reviewDepth。,2847,2846,production-review.json
src/service/project-context/ProjectContextService.ts,intelligence,retained,manual-full,"ProjectContext范围限定查询、逐层事实聚合与refs；导出 FirstStatement, ProjectContextService, FirstStatement",50,49,intelligence-review.json
src/service/project-context/anchorRange/anchorRange.ts,intelligence,modified,manual-full,anchor/range解析，行半径扩展和按选项选择symbol/relation/source refs；复用scope安全file access。,661,651,intelligence-review.json; root-intelligence-review.json
src/service/project-context/anchorRange/contracts.ts,intelligence,retained,manual-full,"ProjectContext范围限定查询、逐层事实聚合与refs；导出 AnchorRangeRequestPayload, AnchorRangePayloadAnchor, AnchorRangeQueryFailure, NormalizedAnchorRangeOptions",55,54,intelligence-review.json
src/service/project-context/anchorRange/index.ts,intelligence,retained,manual-full,模块公共barrel：逐项核对拥有层与导出来源；只转发既有能力，不新增根入口或破坏深路径兼容。,3,2,intelligence-review.json; root-intelligence-review.json
src/service/project-context/architectureIntelligence/architectureIntelligence.ts,intelligence,modified,manual-full,基于源事实给领域/风格/复杂度建议；修复per-module cycleCount一直为0，保持阈值与启发式权重。,1162,1174,intelligence-review.json; root-intelligence-review.json
src/service/project-context/architectureIntelligence/contracts.ts,intelligence,retained,manual-full,架构证据、风格/复杂度和输入图的纯DTO，保留其advisory边界。,194,193,intelligence-review.json; root-intelligence-review.json
src/service/project-context/architectureIntelligence/index.ts,intelligence,retained,manual-full,模块公共barrel：逐项核对拥有层与导出来源；只转发既有能力，不新增根入口或破坏深路径兼容。,3,2,intelligence-review.json; root-intelligence-review.json
src/service/project-context/capabilities.ts,intelligence,retained,manual-full,冻结的带依赖装配门面，各kind转交同一execute，独立纯分析方法保留。,132,131,intelligence-review.json; root-intelligence-review.json
src/service/project-context/dimensionPlanning/contracts.ts,intelligence,retained,manual-full,模块变化/覆盖和动态规划信号DTO；不把启发式建议当验收结论。,149,148,intelligence-review.json; root-intelligence-review.json
